Contract_ID,Vendor,Category,Approved_Amount_USD,Invoiced_Amount_USD,Contract_Status,Start_Date,End_Date
C-1233,SAP,Cloud Services,274333,303770,Closed,2023-10-05,2024-08-14
C-1234,Oracle,Risk Audit,425828,374263,Closed,2023-08-31,2024-09-17
C-1235,EY,ERP Implementation,972019,789273,Closed,2023-04-19,2024-05-16
C-1236,Globant,Risk Audit,276569,226230,Closed,2023-05-02,2024-05-02
C-1237,PwC,Finance Ops,915588,806989,Closed,2023-05-21,2024-02-23
C-1238,Globant,Cloud Support,375688,339562,Active (Overrun),2023-02-28,2024-12-30
C-1239,EY,IT Services,450567,437041,Active (Overrun),2023-04-11,2024-08-01
C-1240,IBM,Cloud Support,345359,319704,Active,2023-06-12,2024-08-17
C-1241,Microsoft,Cloud Services,948900,899230,Active (Overrun),2023-07-03,2024-10-12
C-1242,Capgemini,Software Dev,126150,119999,Active (Overrun),2023-09-18,2024-04-12
C-1243,Oracle,Cloud Support,793814,856067,Closed,2023-08-16,2024-03-29
C-1244,IBM,IT Services,988460,1178016,Active,2023-05-12,2024-05-03
C-1245,SAP,IT Services,715856,634014,Closed,2023-11-05,2024-06-06
C-1246,PwC,Software Dev,792945,934967,Active (Overrun),2023-07-18,2024-10-24
C-1247,Deloitte,Consulting,766413,631321,Active (Overrun),2023-07-10,2024-10-09
C-1248,Oracle,Cloud Services,397951,386843,Closed,2023-07-19,2024-05-06
C-1249,Oracle,ERP Implementation,340159,372448,Active,2023-10-16,2024-02-20
C-1250,Accenture,ERP Implementation,213673,255774,Active (Overrun),2023-08-10,2024-01-02
C-1251,Microsoft,Software Dev,512559,410766,Active,2023-02-19,2024-12-08
C-1252,Capgemini,ERP Implementation,897656,1018942,Active,2023-02-28,2024-05-19
C-1253,Deloitte,Cloud Services,553907,559713,Active,2023-06-26,2024-01-30
C-1254,IBM,Finance Ops,153150,150480,Closed,2023-07-21,2024-03-23
C-1255,Microsoft,Consulting,57099,46956,Active,2023-05-19,2024-10-04
C-1256,Capgemini,ERP Implementation,387505,364537,Closed,2023-02-24,2024-04-17
C-1257,Microsoft,Consulting,131369,135626,Active,2023-06-18,2024-09-03
C-1258,Capgemini,Software Licensing,58559,50607,Active,2023-10-06,2024-09-09
C-1259,Globant,Cloud Support,789964,882534,Active,2023-09-20,2024-06-15
C-1260,Oracle,Software Dev,77719,91519,Closed,2023-06-15,2024-11-05
C-1261,SAP,Software Dev,864827,706101,Active (Overrun),2023-04-18,2024-12-19
C-1262,Capgemini,Software Licensing,955620,1043514,Active,2023-09-24,2024-06-14
C-1263,Deloitte,Finance Ops,442271,521209,Closed,2023-12-12,2024-11-28
C-1264,SAP,Finance Ops,738229,863055,Active,2023-12-31,2024-01-14
C-1265,Accenture,ERP Implementation,65331,62794,Closed,2023-03-25,2024-06-24
C-1266,Accenture,Cloud Services,862760,924293,Active (Overrun),2023-09-16,2024-07-14
C-1267,Deloitte,Risk Audit,634675,586104,Closed,2023-05-22,2024-05-20
C-1268,EY,Finance Ops,609689,610476,Active (Overrun),2023-01-30,2024-02-14
C-1269,IBM,Cloud Services,933547,889128,Active (Overrun),2023-01-05,2024-03-16
C-1270,EY,Consulting,432094,356493,Active (Overrun),2023-11-04,2024-01-27
C-1271,SAP,Cloud Services,759623,899721,Active,2023-02-17,2024-02-23
C-1272,Globant,Consulting,805457,933435,Active (Overrun),2023-08-25,2024-01-14
C-1273,Microsoft,Finance Ops,693942,694257,Active (Overrun),2023-12-09,2024-05-12
C-1274,Microsoft,Consulting,424314,440666,Active (Overrun),2023-08-08,2024-11-03
C-1275,EY,Cloud Services,846983,875806,Active (Overrun),2023-11-13,2024-02-01
C-1276,SAP,Finance Ops,950513,871422,Closed,2023-08-01,2024-07-02
C-1277,IBM,Finance Ops,745180,848394,Closed,2023-10-18,2024-01-03
C-1278,Microsoft,Finance Ops,188956,173939,Active,2023-10-05,2024-01-02
C-1279,Deloitte,Software Licensing,122902,137374,Active,2024-01-01,2024-07-29
C-1280,Capgemini,Software Licensing,877489,819416,Closed,2023-09-17,2024-06-09
C-1281,Capgemini,Finance Ops,519865,603514,Active (Overrun),2023-02-15,2024-10-06
C-1282,SAP,Software Dev,111067,117563,Closed,2023-06-29,2024-11-04
C-1283,Oracle,Cloud Services,258451,243926,Active (Overrun),2023-12-21,2024-08-24
C-1284,SAP,ERP Implementation,858215,957183,Active (Overrun),2023-12-27,2024-06-22
C-1285,Accenture,Cloud Services,929919,968593,Closed,2023-01-30,2024-04-24
C-1286,Microsoft,Software Licensing,485859,478989,Closed,2023-05-13,2024-07-25
C-1287,PwC,Software Licensing,342284,364667,Active (Overrun),2023-07-04,2024-01-22
C-1288,Globant,Software Dev,418322,357949,Active (Overrun),2023-08-18,2024-12-24
C-1289,EY,Finance Ops,485433,397497,Closed,2023-01-12,2024-02-03
C-1290,Microsoft,Cloud Services,326537,282425,Active,2023-06-04,2024-08-01
C-1291,SAP,Consulting,217213,198873,Active (Overrun),2023-02-28,2024-05-29
C-1292,Globant,Consulting,709080,647571,Active (Overrun),2023-02-25,2024-04-08
C-1293,Microsoft,Consulting,837367,802487,Active,2023-04-07,2024-06-24
C-1294,IBM,ERP Implementation,839634,722156,Active (Overrun),2023-05-29,2024-11-09
C-1295,SAP,Software Dev,705527,692396,Closed,2023-11-04,2024-11-09
C-1296,Oracle,ERP Implementation,619074,624580,Closed,2023-07-24,2024-01-08
C-1297,Oracle,Software Licensing,380308,335687,Active,2023-07-15,2024-02-20
C-1298,PwC,Finance Ops,667987,688970,Active,2023-04-11,2024-06-14
C-1299,IBM,Software Licensing,760516,722621,Closed,2023-08-13,2024-11-28
C-1300,EY,ERP Implementation,85910,99491,Closed,2023-04-03,2024-09-15
C-1301,Capgemini,Software Licensing,216159,175961,Closed,2023-11-29,2024-01-05
C-1302,IBM,Cloud Services,137015,120490,Closed,2023-08-14,2024-07-03
C-1303,Deloitte,Risk Audit,123701,102964,Active (Overrun),2023-01-21,2024-09-27
C-1304,SAP,Finance Ops,641990,594992,Active (Overrun),2023-01-02,2024-10-15
C-1305,EY,IT Services,949567,1070426,Active,2023-11-24,2024-08-03
C-1306,Deloitte,Consulting,785970,891293,Closed,2023-02-16,2024-05-30
C-1307,PwC,Finance Ops,152769,168895,Active (Overrun),2023-08-11,2024-05-21
C-1308,Capgemini,ERP Implementation,559372,546049,Active,2023-01-27,2024-09-20
C-1309,Oracle,Cloud Support,521189,569140,Active,2023-03-22,2024-12-19
C-1310,SAP,Cloud Support,325621,305772,Active (Overrun),2023-05-03,2024-10-27
C-1311,Globant,Software Dev,851153,861567,Closed,2023-05-20,2024-10-06
C-1312,Microsoft,ERP Implementation,912349,909331,Active,2023-04-11,2024-08-26
C-1313,EY,Finance Ops,917248,1048316,Active (Overrun),2023-12-05,2024-05-03
C-1314,EY,Software Licensing,360387,290106,Closed,2023-09-24,2024-08-19
C-1315,PwC,Finance Ops,257501,273440,Active,2023-03-12,2024-09-06
C-1316,SAP,Finance Ops,753120,751009,Active (Overrun),2023-05-27,2024-03-01
C-1317,Capgemini,Software Dev,283763,241728,Active,2023-03-13,2024-10-18
C-1318,Capgemini,ERP Implementation,382656,425316,Closed,2023-04-14,2024-08-21
C-1319,Deloitte,Software Dev,321958,265445,Closed,2023-07-30,2024-03-13
C-1320,PwC,Cloud Services,75319,78011,Active (Overrun),2023-12-03,2024-06-24
C-1321,Capgemini,ERP Implementation,351174,324178,Active,2023-01-08,2024-03-22
C-1322,SAP,Cloud Services,870473,1002642,Active,2023-11-24,2024-06-30
C-1323,Oracle,Cloud Support,206324,179576,Active,2023-09-13,2024-09-27
C-1324,Accenture,Finance Ops,848007,828893,Active,2023-04-13,2024-01-09
C-1325,SAP,Cloud Services,938740,985143,Active,2023-08-01,2024-03-25
C-1326,EY,Risk Audit,461170,416184,Active,2023-01-09,2024-10-23
C-1327,Accenture,Cloud Services,816203,781364,Active,2023-02-14,2024-04-17
C-1328,Oracle,Risk Audit,138977,161995,Active,2023-04-13,2024-09-13
C-1329,EY,Risk Audit,371607,388909,Closed,2023-05-02,2024-09-16
C-1330,EY,Software Licensing,570774,508803,Active,2023-04-29,2024-03-21
C-1331,Oracle,IT Services,566342,521648,Active,2023-01-19,2024-11-22
C-1332,EY,Cloud Services,684139,642868,Active,2023-02-01,2024-03-08
C-1333,Deloitte,Finance Ops,438463,363864,Active (Overrun),2023-01-08,2024-07-24
C-1334,Deloitte,Risk Audit,476125,450131,Active,2023-06-10,2024-07-12
C-1335,SAP,Consulting,201043,175717,Active (Overrun),2023-09-20,2024-09-19
C-1336,PwC,ERP Implementation,608910,719653,Closed,2023-10-14,2024-04-16
C-1337,PwC,Cloud Support,458310,410504,Active,2023-07-07,2024-07-13
